City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Talara,PE,87.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
5,Lorengau,PG,80.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
13,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,Kost Pria
17,San Lorenzo,PY,75.2,broken clouds,-25.3333,-57.5333,Hotel del Sur
22,Saldanha,ZA,71.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
25,Galle,LK,80.67,broken clouds,6.0367,80.217,Amangalla
31,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,Pension Maro'i
32,Kudahuvadhoo,MV,83.68,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
35,Maceio,BR,77.0,mist,-9.6658,-35.7353,Poutur Pousada
37,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Poum,NC,78.06,overcast clouds,-20.2333,164.0167,Gîte kajeon
55,Rajanpur,PK,89.73,scattered clouds,29.1035,70.325,Style Inn Shoes Rajanpur
57,Namibe,AO,81.72,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
58,Vredendal,ZA,74.26,scattered clouds,-31.6683,18.5012,Tharrakamma Guest House
59,Hithadhoo,MV,83.95,broken clouds,-0.6,73.0833,Scoop Guest House
64,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
69,Tual,ID,82.96,broken clouds,-5.6667,132.75,Grand Vilia Hotel
78,Butaritari,KI,81.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
79,Vung Tau,VN,81.7,few clouds,10.345999999999998,107.0843,Green hotel
82,Bubaque,GW,77.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
83,Mayo,US,75.0,few clouds,38.8876,-76.5119,Resorts Resource Group International
84,Saint-Philippe,RE,80.6,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Cidreira,BR,88.25,clear sky,-30.1811,-50.2056,Hotel Castelo
91,Requena,ES,73.0,broken clouds,39.4883,-1.1004,Hotel Avenida
94,Beira,MZ,78.8,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
95,Atuona,PF,80.44,scattered clouds,-9.8,-139.0333,Villa Enata
96,Hambantota,LK,80.67,overcast clouds,6.1241,81.1185,Bungalow 63
99,Timbiras,BR,87.48,overcast clouds,-4.2553,-43.9406,Casa jaboatao Guimarães
101,Los Andes,CL,80.01,clear sky,-32.8337,-70.5983,Hotel Los Andes
106,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
110,Eydhafushi,MV,83.64,broken clouds,5.1033,73.0708,Soneva Fushi
113,Almeirim,BR,86.99,broken clouds,-1.5233,-52.5817,Ricácio Hotel
114,Luanda,AO,84.2,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
119,Karratha,AU,82.9,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
121,Puerto Plata,DO,82.4,few clouds,19.7934,-70.6884,Hotel Central
123,Songkhla,TH,80.6,few clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
124,Bartica,GY,84.2,scattered clouds,6.4,-58.6167,Relax Inn Hotel
128,Castro,BR,79.48,clear sky,-24.7911,-50.0119,CHACARA BAILLY
129,Oriximina,BR,84.36,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
130,Coahuayana,MX,77.0,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
132,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
134,Maues,BR,87.66,light rain,-3.3836,-57.7186,Hotel Miramar
142,Ratnagiri,IN,82.11,few clouds,16.9833,73.3,Hotel Landmark
143,San Pedro,PH,81.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
144,Mersing,MY,82.4,overcast clouds,2.4312,103.8405,Timotel Hotel
147,Kavaratti,IN,83.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
150,Pietersburg,ZA,75.2,clear sky,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
153,Victoria,HK,73.99,scattered clouds,22.2855,114.1577,Mini Hotel Central
