City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talara,PE,-4.5772,-81.2719,87.8,48,0,14.97,clear sky
1,Yeppoon,AU,-23.1333,150.7333,68.0,64,0,13.04,clear sky
2,Kapaa,US,22.0752,-159.319,66.2,82,90,6.91,overcast clouds
3,Bluff,NZ,-46.6,168.3333,48.0,97,54,1.99,broken clouds
4,Ushuaia,AR,-54.8,-68.3,48.2,66,20,4.61,few clouds
5,Lorengau,PG,-2.0226,147.2712,80.87,83,96,13.73,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,21.9,93,100,11.59,light snow
7,Jamestown,US,42.097,-79.2353,68.0,59,75,12.66,broken clouds
8,Kodiak,US,57.79,-152.4072,39.2,93,90,16.11,light rain
9,Ribeira Grande,PT,38.5167,-28.7,62.6,100,75,3.44,broken clouds
10,Cherskiy,RU,68.75,161.3,-30.05,99,59,3.94,broken clouds
11,Vaini,TO,-21.2,-175.2,66.2,100,20,2.3,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,53.6,54,0,16.11,clear sky
13,Meulaboh,ID,4.1363,96.1285,77.7,86,95,3.29,overcast clouds
14,Olafsvik,IS,64.8945,-23.7142,36.52,98,100,17.6,light rain
15,Mataura,NZ,-46.1927,168.8643,48.0,97,88,1.99,overcast clouds
16,Bilibino,RU,68.0546,166.4372,-24.88,95,24,4.92,few clouds
17,San Lorenzo,PY,-25.3333,-57.5333,75.2,88,75,13.8,broken clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,5.75,clear sky
19,Erenhot,CN,43.6475,111.9767,43.86,45,99,21.27,light rain
20,Port Alfred,ZA,-33.5906,26.891,68.14,90,98,4.41,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,69.01,88,20,16.11,few clouds
22,Saldanha,ZA,-33.0117,17.9442,71.6,60,99,12.66,overcast clouds
23,Abrau-Dyurso,RU,44.69,37.59,46.4,87,75,8.95,light rain
24,Ponta Do Sol,PT,32.6667,-17.1,68.0,73,40,19.57,scattered clouds
25,Galle,LK,6.0367,80.217,80.67,74,60,0.54,broken clouds
26,Beringovskiy,RU,63.05,179.3167,2.88,94,100,25.9,snow
27,Banff,CA,51.1762,-115.5698,28.4,63,69,1.14,broken clouds
28,Nanortalik,GL,60.1432,-45.2371,38.71,66,1,6.73,clear sky
29,Podporozhye,RU,60.9112,34.1706,32.94,91,4,2.64,clear sky
30,Nemuro,JP,43.3236,145.575,35.98,86,0,8.25,clear sky
31,Rikitea,PF,-23.1203,-134.9692,78.42,75,8,11.25,clear sky
32,Kudahuvadhoo,MV,2.6708,72.8944,83.68,69,73,6.78,broken clouds
33,Codrington,AU,-38.2667,141.9667,54.91,74,100,11.27,overcast clouds
